Area_sqft,bathrooms,balconies,current_floor,total_floors,furnishing_status,Mapped_Area,facing,property_age_bucket,is_ready_to_move,is_built_up_area,is_carpet_area,is_super_built_up_area,Bedrooms,price
1602.0,2.0,3.0,11.0,14.0,1.0,31.0,8.0,4.0,1,False,False,True,3.0,81.5
1180.0,3.0,2.0,8.5,25.0,0.0,5.0,8.0,4.0,0,False,True,False,3.0,242.0
2400.0,3.0,1.0,4.0,8.0,0.0,19.0,4.0,3.0,1,False,False,False,3.0,140.0
782.0,2.0,1.0,11.0,14.0,2.0,19.0,4.0,3.0,1,False,True,False,2.0,75.0
1296.0,2.0,1.0,4.0,8.0,1.0,11.0,4.0,3.0,1,False,True,False,2.0,56.0
1134.0,2.0,1.0,2.0,7.0,3.0,19.0,2.0,3.0,1,False,True,False,2.0,48.5
881.0,2.0,1.0,4.0,10.0,2.0,16.0,8.0,0.0,1,False,True,False,3.0,79.0
1080.0,2.0,1.0,2.0,6.0,1.0,11.0,8.0,3.0,1,False,False,False,2.0,70.0
2671.0,3.0,2.0,9.0,34.0,0.0,5.0,8.0,4.0,0,False,False,True,3.0,300.0
1845.0,3.0,1.0,4.0,8.0,0.0,16.0,8.0,4.0,1,False,False,True,3.0,78.0
1197.0,2.0,1.0,4.0,8.0,0.0,19.0,8.0,4.0,1,False,True,False,2.0,65.75
350.0,1.0,1.0,2.0,6.0,0.0,6.0,8.0,4.0,1,False,True,False,1.0,15.0
1476.0,2.0,1.0,4.0,13.0,2.0,16.0,8.0,0.0,1,False,False,True,2.0,65.0
1180.0,3.0,2.0,8.5,25.0,0.0,5.0,8.0,4.0,0,False,True,False,3.0,259.0
1602.0,2.0,2.0,3.0,7.0,0.0,15.0,8.0,4.0,0,False,False,True,2.0,46.0
1319.0,3.0,1.0,4.0,8.0,1.0,11.0,8.0,3.0,1,False,True,False,3.0,165.0
1668.4045,2.0,1.0,5.0,12.0,3.0,7.0,8.0,3.0,0,False,True,False,2.0,44.17
1791.0,3.0,1.0,13.0,13.0,1.0,11.0,8.0,3.0,1,False,False,True,3.0,95.0
2303.4746,3.0,1.0,3.0,8.0,3.0,11.0,8.0,4.0,1,False,True,False,3.0,84.0
3552.087,2.0,1.0,0.0,1.0,0.0,23.0,8.0,4.0,1,False,True,False,2.0,450.0
1404.0,2.0,3.0,13.0,13.0,3.0,19.0,0.0,0.0,1,True,False,False,2.0,105.0
1400.0,2.0,2.0,8.0,13.0,0.0,18.0,8.0,4.0,1,False,True,False,2.0,46.0
1359.0,2.0,1.0,5.0,7.0,1.0,14.0,8.0,0.0,1,False,False,True,2.0,65.0
786.0,2.0,1.0,7.0,9.0,3.0,19.0,8.0,3.0,1,False,True,False,3.0,72.0
1962.0,3.0,1.0,6.0,13.0,3.0,19.0,8.0,3.0,1,False,True,False,3.0,115.0
2475.0,3.0,1.0,10.0,14.0,3.0,19.0,2.0,3.0,1,False,False,True,3.0,135.0
871.0,2.0,1.0,8.5,25.0,0.0,5.0,8.0,4.0,0,False,True,False,2.0,165.0
1215.0,2.0,1.0,2.0,10.0,2.0,19.0,8.0,1.0,1,False,True,False,2.0,50.0
1935.0,3.0,1.0,1.0,5.5,3.0,9.0,8.0,3.0,1,False,False,True,3.0,95.0
1242.0,2.0,1.0,4.0,8.0,0.0,19.0,8.0,4.0,1,False,True,False,2.0,50.0
1359.0,2.0,1.0,3.0,3.0,0.0,14.0,8.0,0.0,1,False,True,False,2.0,67.0
1875.0,3.0,2.0,2.0,25.0,0.0,5.0,8.0,3.0,0,False,False,True,3.0,170.0
1224.0,2.0,1.0,2.0,6.0,2.0,33.0,8.0,0.0,1,False,True,False,2.0,47.0
1323.0,2.0,1.0,2.0,5.0,3.0,19.0,1.0,2.0,1,False,False,True,2.0,51.0
1323.0,2.0,1.0,5.0,5.0,3.0,19.0,1.0,2.0,1,False,False,True,2.0,50.0
1197.0,2.0,1.0,4.0,8.0,1.0,19.0,4.0,3.0,1,True,False,False,2.0,53.0
1935.0,3.0,1.0,2.0,5.0,3.0,19.0,8.0,1.0,1,False,False,True,3.0,90.0
990.0,2.0,2.0,1.0,4.0,2.0,6.0,8.0,1.0,1,False,True,False,2.0,30.0
2151.0,3.0,3.0,4.0,14.0,0.0,19.0,8.0,3.0,1,False,False,False,3.0,110.0
1000.0,2.0,1.0,8.5,25.0,0.0,5.0,8.0,4.0,1,False,True,False,2.0,110.0
782.0,2.0,1.0,3.0,7.0,1.0,19.0,8.0,3.0,1,False,True,False,2.0,85.0
1410.0,3.0,1.0,4.0,8.0,3.0,9.0,8.0,3.0,1,False,True,False,3.0,114.0
2412.0,2.0,1.0,2.0,6.0,2.0,14.0,0.0,4.0,1,False,True,False,3.0,115.0
1650.0,2.0,1.0,4.0,7.0,1.0,11.0,8.0,2.0,1,False,True,False,2.0,80.0
1511.0,2.0,1.0,5.0,8.0,0.0,5.0,8.0,3.0,0,False,True,False,2.0,166.0
843.0,3.0,1.0,5.0,8.0,3.0,14.0,8.0,3.0,1,False,True,False,3.0,100.0
