Price,Area,Bathrooms,Balconies,Current_Floor,Total_Floors,Furnishing_Status,Mapped_Area,Facing,Property_Age,Bedrooms,Area_Type,Property_Status
125.0,724.0,2.0,1.0,11.0,24.0,Unknown,Gift City,Unknown,1-5 years,2.0,Carpet,Ready_to_Move
80.0,1656.0,3.0,1.0,4.0,5.0,unfurnished,Sargasan,Unknown,10-20 years,3.0,Super Built-up,Ready_to_Move
50.0,1305.0,2.0,1.0,3.0,7.0,furnished,Vavol,Unknown,Unknown,2.0,Built-up,Ready_to_Move
175.0,880.0,2.0,1.0,25.0,34.0,Unknown,Gift City,Unknown,New,2.0,Carpet,Under_Construction
37.0,780.0,2.0,2.0,2.0,6.0,Unknown,Chiloda,Unknown,Unknown,2.0,Carpet,Ready_to_Move
72.0,786.0,3.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,Unknown,3.0,Carpet,Ready_to_Move
45.0,697.0,2.0,3.0,3.0,4.0,Unknown,Sargasan,Unknown,10-20 years,2.0,Built-up,Ready_to_Move
72.0,861.0,3.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,Unknown,3.0,Built-up,Ready_to_Move
81.5,1602.0,2.0,3.0,11.0,14.0,furnished,Uvarsad,Unknown,Unknown,3.0,Super Built-up,Ready_to_Move
242.0,1180.0,3.0,2.0,8.5,25.0,Unknown,Gift City,Unknown,Unknown,3.0,Carpet,Under_Construction
140.0,2400.0,3.0,1.0,4.0,8.0,Unknown,Sargasan,Other,New,3.0,Super Built-up,Ready_to_Move
75.0,782.0,2.0,1.0,11.0,14.0,semi-furnished,Sargasan,Other,New,2.0,Carpet,Ready_to_Move
56.0,1296.0,2.0,1.0,4.0,8.0,furnished,Kudasan,Other,New,2.0,Carpet,Ready_to_Move
48.5,1134.0,2.0,1.0,2.0,7.0,unfurnished,Sargasan,North-East,New,2.0,Carpet,Ready_to_Move
79.0,881.0,2.0,1.0,4.0,10.0,semi-furnished,Raysan,Unknown,1-5 years,3.0,Carpet,Ready_to_Move
70.0,1071.0,2.0,1.0,2.0,6.0,furnished,Kudasan,Unknown,New,2.0,Carpet,Ready_to_Move
300.0,2671.0,3.0,2.0,9.0,34.0,Unknown,Gift City,Unknown,Unknown,3.0,Super Built-up,Under_Construction
78.0,1845.0,3.0,1.0,4.0,8.0,Unknown,Raysan,Unknown,Unknown,3.0,Super Built-up,Ready_to_Move
65.75,1197.0,2.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,Unknown,2.0,Carpet,Ready_to_Move
15.0,350.0,1.0,1.0,2.0,6.0,Unknown,Kalol,Unknown,Unknown,1.0,Carpet,Ready_to_Move
